RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Osceola,"Osceola, FL",Osceola,Florida,28.263489,-81.512387,3057.083333,2870.833333,1882.083333,1698.083333,2410.5,2521.75,2512.333333,2357.083333
Dauphin,"Dauphin, PA",Dauphin,Pennsylvania,40.600992,-76.811693,2238.666667,2311,1957.5,1938.833333,1835,1561.5,1361.583333,1124.416667
Ottawa,"Ottawa, MI",Ottawa,Michigan,42.979522,-85.93927,1974.916667,2078.416667,1513,1344.583333,1069.083333,979.8333333,852,738.8333333
Rutherford,"Rutherford, TN",Rutherford,Tennessee,35.695974,-86.368041,2565.416667,2838,2342.833333,2025,1708.083333,806.5833333,754.3333333,667.5833333
Clayton,"Clayton, GA",Clayton,Georgia,33.518505,-84.337523,1725,1884.166667,1061.333333,682.75,751.5,1095,1084.5,914.4166667
Marin,"Marin, CA",Marin,California,37.970948,-122.504286,1270.5,1239.666667,775.3333333,590.0833333,561,490.5833333,425.0833333,359.6666667
Harford,"Harford, MD",Harford,Maryland,39.499909,-76.231177,1589.166667,1560.25,1206.5,1058.416667,1283.75,1337.833333,1179.416667,918.9166667
Norfolk City,"Norfolk City, VA",Norfolk City,Virginia,36.895911,-76.208521,1921.75,1957.166667,1504.083333,1392.916667,1504.833333,1469.583333,1397.333333,1234.916667
Washington,"Washington, MN",Washington,Minnesota,44.90717,-92.816193,1586,1604.083333,1030.833333,829,1012.583333,1058.75,1043.25,845.0833333
Cumberland,"Cumberland, PA",Cumberland,Pennsylvania,40.21604,-76.924996,1590.416667,1690.25,1539,1511.833333,1475.25,1202.25,970.25,858.25
Saint Tammany,"Saint Tammany, LA",Saint Tammany,Louisiana,30.477483,-89.955328,2447.416667,2250.75,1838.833333,1547.166667,1448.666667,1538.666667,1362.666667,1663.166667
Frederick,"Frederick, MD",Frederick,Maryland,39.512748,-77.369299,1401.416667,1498.75,940.0833333,694.4166667,994.75,1116.75,1043.166667,975.25
York,"York, SC",York,South Carolina,34.992612,-81.178712,2212.25,2092.333333,1679.583333,1624.583333,1472.666667,931.8333333,754.9166667,728.0833333
Chesapeake City,"Chesapeake City, VA",Chesapeake City,Virginia,36.749991,-76.218759,2241,2183.333333,1802.5,1536.416667,1680.916667,1668,1644.666667,1535.166667
Clay,"Clay, MO",Clay,Missouri,39.332601,-94.274632,2291.25,2331.166667,1568.25,1354.916667,1331.666667,1292.416667,956.8333333,986.5833333
Saratoga,"Saratoga, NY",Saratoga,New York,42.934416,-73.848971,1488.666667,2069.5,2019.583333,1591.583333,1503.666667,1377.166667,1269.666667,1185.583333
Jefferson,"Jefferson, MO",Jefferson,Missouri,38.341665,-90.410219,2039.083333,2103.833333,1997.416667,1900.666667,1805.083333,1443,1268.666667,1186.666667
Lackawanna,"Lackawanna, PA",Lackawanna,Pennsylvania,41.487598,-75.533403,800.9166667,1280.666667,1205.583333,1179.416667,1383.333333,1387.5,1280.25,1043
Cherokee,"Cherokee, GA",Cherokee,Georgia,34.30116,-84.442937,3066.166667,2829,1659.583333,1177.333333,1337,1384.333333,1342.5,1235.75
